종목,수량,매수가,현재가,수익률(%),수익금액($),52주 최저가($),52주 최고가($),박스권 위치(%),추천 매수가($),추천 매도가($),종합평가,볼린저 위치,볼린저 평가,MACD 값,MACD 평가,RSI,RSI 평가,CCI,CCI 평가,ADX,ADX 평가,Williams %R,Williams 평가,Stochastic %K,Stochastic %D,Stochastic 평가
SPY,25,508.62,546.69,7.48,38.07,481.80,611.39,50.07,507.72,585.47,매도 (1:1:7),63.64,중립,2.69,약매수,52.62,중립,35.16,중립,31.59,하락추세,-2.89,과매수,97.11,76.81,과매수반전
SCHD,2301,25.01,25.71,2.78,0.70,23.87,29.18,34.64,24.93,28.12,매수 (4:1:3),44.23,중립,0.05,약매수,43.07,중립,-25.91,중립,31.24,하락추세,-24.28,중립,75.72,52.61,상승추세
O,1,56.69,57.15,0.81,0.46,48.42,63.08,59.57,51.35,60.15,매도 (2:2:4),62.14,중립,0.27,강매수,50.34,중립,53.73,중립,13.85,약한추세,-21.18,중립,78.82,88.09,하락추세
JEPQ,948,49.05,50.63,3.22,1.58,44.29,57.43,48.24,46.92,54.80,매도 (1:1:7),65.38,중립,0.27,약매수,53.82,중립,45.16,중립,33.76,하락추세,-3.51,과매수,96.49,78.07,과매수반전
BIL,921,91.51,91.66,0.17,0.15,87.48,91.67,99.76,88.32,90.83,매도 (2:0:18) - 모멘텀 지표 매도신호,86.45,매도,-0.00,약매도,100.00,과매수,119.10,과매수,100.00,강한상승,-5.00,과매수,95.00,96.82,과매수하락
SGOV,12,100.57,100.61,0.04,0.04,95.94,100.62,99.79,96.88,99.68,"매도 (7:0:17) - 모멘텀 지표 매도신호, 강한상승추세",88.07,매도,0.00,강매수,100.00,과매수,121.61,과매수,100.00,강한상승,-4.55,과매수,95.45,97.10,과매수하락
TLT,210,87.03,88.24,1.39,1.21,83.84,99.21,28.63,86.91,96.13,매수 (4:1:3),42.67,중립,-0.14,강매도,37.89,중립,-30.17,중립,20.55,하락추세,-64.36,중립,35.64,25.82,상승추세
TLTW,600,23.20,23.39,0.82,0.19,21.45,24.94,55.46,22.15,24.25,매도 (3:1:8) - 강한하락추세,49.69,중립,-0.01,강매도,40.13,중립,-11.00,중립,26.48,하락추세,-48.30,중립,51.70,40.73,상승추세
TOPT,1,23.53,23.57,0.17,0.04,20.39,27.01,48.02,21.71,25.69,매도 (1:1:7),66.20,중립,0.12,약매수,54.04,중립,43.54,중립,30.73,하락추세,-8.36,과매수,91.64,73.68,과매수반전
GLD,1,284.10,308.07,8.44,23.97,210.71,317.63,91.06,232.09,296.25,매수 (8:0:5) - 강한상승추세,80.03,매도,1.35,강매수,64.05,중립,90.25,중립,32.04,상승추세,-21.22,중립,78.78,77.76,상승추세
URNM,1,33.86,34.30,1.30,0.44,27.60,58.51,21.68,33.78,52.33,"매도 (6:0:11) - 모멘텀 지표 매도신호, 강한상승추세",97.15,매도,0.49,약매수,60.35,중립,148.64,과매수,30.89,상승추세,-0.45,과매수,99.55,83.89,과매수반전
VST,1,128.36,124.23,-3.21,-4.13,66.12,199.50,43.57,92.79,172.82,매도 (1:1:11) - 모멘텀 지표 매도신호,83.64,매도,2.07,약매수,60.89,중립,120.32,과매수,14.15,약한추세,-5.76,과매수,94.24,79.32,과매수반전
TEM,1,51.09,53.50,4.73,2.41,22.89,91.45,44.65,36.60,77.74,매도 (2:1:10) - 모멘텀 지표 매도신호,100.55,매도,1.34,약매수,59.69,중립,140.46,과매수,20.38,상승추세,-0.23,과매수,99.77,79.59,과매수반전
TSLA,40,252.09,259.51,2.94,7.42,158.36,488.54,30.63,224.40,422.50,보유 (2:2:3),60.75,중립,2.10,약매수,47.79,중립,24.89,중립,19.00,약한추세,-25.12,중립,74.88,55.74,상승추세
NVDA,74,109.52,106.43,-2.83,-3.09,78.20,153.12,37.68,93.18,138.13,매도 (2:2:4),54.44,중립,0.31,약매수,53.46,중립,4.82,중립,27.08,하락추세,-30.44,중립,69.56,56.38,상승추세
AAPL,1,205.77,208.37,1.26,2.60,167.36,259.81,44.36,185.85,241.32,매도 (1:1:6),60.60,중립,2.09,약매수,52.40,중립,27.15,중립,24.36,하락추세,-10.45,과매수,89.55,75.01,과매수반전
PLTR,51,96.06,107.78,12.21,11.72,20.50,125.41,83.20,41.48,104.43,매도 (2:1:11) - 모멘텀 지표 매도신호,107.42,매도,2.00,강매수,67.61,중립,181.36,과매수,13.71,약한추세,-0.48,과매수,99.52,92.17,과매수반전
UVIX,194,57.53,46.80,-18.65,-10.73,25.85,199.70,12.05,60.62,164.93,매수 (7:1:1),37.34,중립,-2.02,약매도,48.09,중립,-42.32,중립,33.49,상승추세,-96.08,과매도,3.92,14.56,과매도하락
VIXY,1,48.26,64.84,34.35,16.58,39.56,90.08,50.04,49.66,79.98,매수 (6:2:1),48.81,중립,-0.91,약매도,52.31,중립,-2.79,중립,38.98,상승추세,-89.27,과매도,10.73,32.95,과매도하락
TQQQ,171,48.94,52.14,6.55,3.20,35.00,93.20,29.45,46.64,81.56,매도 (1:2:6),59.48,중립,1.01,약매수,51.71,중립,19.79,중립,34.48,하락추세,-6.90,과매수,93.10,66.93,과매수반전
QQQ,11,450.27,467.35,3.79,17.08,402.39,540.00,47.20,429.91,512.48,매도 (1:1:7),70.00,중립,3.03,약매수,54.71,중립,56.78,중립,30.91,하락추세,-0.73,과매수,99.27,77.84,과매수반전
